trait	cohort_size	non_missing	missing
MG	16960	14461	2499
ST	16960	14461	2499
FC	16960	14461	2499
P_CLR	16960	14461	2499
P_FRM	16960	14461	2499
P_DENS	16960	14461	2499
POD	16960	14461	2499
SC_L	16960	14461	2499
SC_CLR	16960	14461	2499
H_CLR	16960	14461	2499
protein	16960	14461	2499
oil	16960	14461	2499
Linoleic	16960	14461	2499
Linolenic	16960	14461	2499
eno	16960	14461	2499
R1	16960	14461	2499
R8	16960	14461	2499
Hgt	16960	14461	2499
Mat	16960	14461	2499
Ldg	16960	14461	2499
SQ	16960	14461	2499
SdWgt	16960	14461	2499
Yield	16960	14461	2499
