pheno_id	in_vcf_spelling
FC001547	FC1547
FC002108	FC2108
FC002109	FC2109
FC003548	FC3548
FC003609	FC3609
FC003654-1	FC3654-1
FC003654N	FC3654N
FC003659	FC3659
FC003981	FC3981
FC004002B	FC4002B
FC004002N	FC4002N
FC004007A	FC4007A
FC004007B	FC4007B
FC019976	FC19976
FC019976-1	FC19976-1
FC019976-2	FC19976-2
FC019979-1	FC19979-1
FC019979-2	FC19979-2
FC019979-3	FC19979-3
FC019979-4	FC19979-4
FC019979-5	FC19979-5
FC019979-6	FC19979-6
FC019979-7	FC19979-7
FC021340	FC21340
FC029219	FC29219
FC029333	FC29333
FC030233	FC30233
FC030265	FC30265
FC030267	FC30267
FC030282	FC30282
FC030683	FC30683
FC030684	FC30684
FC030685	FC30685
FC030687	FC30687
FC030689	FC30689
FC030691	FC30691
FC030692	FC30692
FC030694	FC30694
FC030967	FC30967
FC031122	FC31122
FC031408	FC31408
FC031409	FC31409
FC031416	FC31416
FC031557	FC31557
FC031571	FC31571
FC031572	FC31572
FC031572-3	FC31572-3
FC031579	FC31579
FC031592	FC31592
FC031622	FC31622
FC031630	FC31630
FC031649	FC31649
FC031665	FC31665
FC031676	FC31676
FC031677	FC31677
FC031678	FC31678
FC031683	FC31683
FC031684	FC31684
FC031685	FC31685
FC031689	FC31689
FC031697	FC31697
FC031700	FC31700
FC031702	FC31702
FC031707	FC31707
FC031709	FC31709
FC031715	FC31715
FC031719	FC31719
FC031721	FC31721
FC031731	FC31731
FC031732	FC31732
FC031737	FC31737
FC031744	FC31744
FC031745	FC31745
FC031750	FC31750
FC031918	FC31918
FC031919	FC31919
FC031921	FC31921
FC031927	FC31927
FC031933	FC31933
FC031934	FC31934
FC031935	FC31935
FC031943	FC31943
FC031946	FC31946
FC031952	FC31952
FC032033	FC32033
FC032141	FC32141
FC032175	FC32175
FC032176	FC32176
FC033123	FC33123
FC033243	FC33243
FC033243-1	FC33243-1
FC033243-2	FC33243-2
PI019986	PI19986
PI030594	PI30594
PI030599	PI30599
PI030600	PI30600
PI036653	PI36653
PI036906	PI36906
PI047131	PI47131
PI054583	PI54583
PI054591	PI54591
PI054592	PI54592
PI054600	PI54600
PI054604	PI54604
PI054606-1	PI54606-1
PI054606-2	PI54606-2
PI054607	PI54607
PI054608	PI54608
PI054608-1	PI54608-1
PI054608-2	PI54608-2
PI054608-3	PI54608-3
PI054608-4	PI54608-4
PI054608-5	PI54608-5
PI054609	PI54609
PI054610	PI54610
PI054610-1	PI54610-1
PI054610-4	PI54610-4
PI054613	PI54613
PI054614	PI54614
PI054615	PI54615
PI054615-1	PI54615-1
PI054615-2	PI54615-2
PI054617	PI54617
PI054618	PI54618
PI054619	PI54619
PI054620	PI54620
PI054620-2	PI54620-2
PI054809	PI54809
PI054818	PI54818
PI054834	PI54834
PI054853	PI54853
PI054854	PI54854
PI054855	PI54855
PI054857	PI54857
PI054859	PI54859
PI054862	PI54862
PI054865	PI54865
PI054873	PI54873
PI055089	PI55089
PI055089-1	PI55089-1
PI055887	PI55887
PI056563	PI56563
PI057334	PI57334
PI058955	PI58955
PI059845	PI59845
PI059849	PI59849
PI060269	PI60269
PI060269-2	PI60269-2
PI060272	PI60272
PI060273	PI60273
PI060279	PI60279
PI060296	PI60296
PI060296-1	PI60296-1
PI060296-2	PI60296-2
PI060970	PI60970
PI061940	PI61940
PI061944	PI61944
PI061947	PI61947
PI062199	PI62199
PI062202	PI62202
PI062202-2	PI62202-2
PI062203	PI62203
PI062204	PI62204
