vcf_id	pheno_id	rule
FC1547	FC001547	zero_pad
FC19976	FC019976	zero_pad
FC19976-1	FC019976-1	zero_pad
FC19976-2	FC019976-2	zero_pad
FC19979-1	FC019979-1	zero_pad
FC19979-2	FC019979-2	zero_pad
FC19979-3	FC019979-3	zero_pad
FC19979-4	FC019979-4	zero_pad
FC19979-5	FC019979-5	zero_pad
FC19979-6	FC019979-6	zero_pad
FC19979-7	FC019979-7	zero_pad
FC2108	FC002108	zero_pad
FC2109	FC002109	zero_pad
FC21340	FC021340	zero_pad
FC29219	FC029219	zero_pad
FC29333	FC029333	zero_pad
FC30233	FC030233	zero_pad
FC30265	FC030265	zero_pad
FC30267	FC030267	zero_pad
FC30282	FC030282	zero_pad
FC30683	FC030683	zero_pad
FC30684	FC030684	zero_pad
FC30685	FC030685	zero_pad
FC30687	FC030687	zero_pad
FC30689	FC030689	zero_pad
FC30691	FC030691	zero_pad
FC30692	FC030692	zero_pad
FC30694	FC030694	zero_pad
FC30967	FC030967	zero_pad
FC31122	FC031122	zero_pad
FC31408	FC031408	zero_pad
FC31409	FC031409	zero_pad
FC31416	FC031416	zero_pad
FC31557	FC031557	zero_pad
FC31571	FC031571	zero_pad
FC31572	FC031572	zero_pad
FC31572-3	FC031572-3	zero_pad
FC31579	FC031579	zero_pad
FC31592	FC031592	zero_pad
FC31622	FC031622	zero_pad
FC31630	FC031630	zero_pad
FC31649	FC031649	zero_pad
FC31665	FC031665	zero_pad
FC31676	FC031676	zero_pad
FC31677	FC031677	zero_pad
FC31678	FC031678	zero_pad
FC31683	FC031683	zero_pad
FC31684	FC031684	zero_pad
FC31685	FC031685	zero_pad
FC31689	FC031689	zero_pad
FC31697	FC031697	zero_pad
FC31700	FC031700	zero_pad
FC31702	FC031702	zero_pad
FC31707	FC031707	zero_pad
FC31709	FC031709	zero_pad
FC31715	FC031715	zero_pad
FC31719	FC031719	zero_pad
FC31721	FC031721	zero_pad
FC31731	FC031731	zero_pad
FC31732	FC031732	zero_pad
FC31737	FC031737	zero_pad
FC31744	FC031744	zero_pad
FC31745	FC031745	zero_pad
FC31750	FC031750	zero_pad
